date,count,package
2020-01-13,41793,ggplot2
2020-01-14,42412,ggplot2
2020-01-15,40575,ggplot2
2020-01-16,40150,ggplot2
2020-01-17,34442,ggplot2
2020-01-18,19643,ggplot2
2020-01-19,19089,ggplot2
2020-01-20,34508,ggplot2
2020-01-21,41155,ggplot2
2020-01-22,41689,ggplot2
2020-01-23,40107,ggplot2
2020-01-24,33951,ggplot2
2020-01-25,20226,ggplot2
2020-01-26,20260,ggplot2
2020-01-27,37986,ggplot2
2020-01-28,41526,ggplot2
2020-01-29,42271,ggplot2
2020-01-30,40697,ggplot2
2020-01-31,36142,ggplot2
2020-02-01,20125,ggplot2
2020-02-02,19597,ggplot2
2020-02-03,39741,ggplot2
2020-02-04,42483,ggplot2
2020-02-05,42100,ggplot2
2020-02-06,42561,ggplot2
2020-02-07,40696,ggplot2
2020-02-08,24952,ggplot2
2020-02-09,24270,ggplot2
2020-02-10,42275,ggplot2
2020-02-11,45186,ggplot2
2020-02-12,46417,ggplot2
2020-02-13,42489,ggplot2
2020-02-14,34998,ggplot2
2020-02-15,19640,ggplot2
2020-02-16,19871,ggplot2
2020-02-17,40189,ggplot2
2020-02-18,45692,ggplot2
2020-02-19,46116,ggplot2
2020-02-20,44429,ggplot2
2020-02-21,39446,ggplot2
2020-02-22,24457,ggplot2
2020-02-23,24404,ggplot2
2020-02-24,39287,ggplot2
2020-02-25,42860,ggplot2
2020-02-26,44631,ggplot2
2020-02-27,42154,ggplot2
2020-02-28,34426,ggplot2
2020-02-29,5554,ggplot2
2020-03-01,19205,ggplot2
2020-03-02,42042,ggplot2
2020-03-03,50320,ggplot2
2020-03-04,51059,ggplot2
2020-03-05,54743,ggplot2
2020-03-06,60530,ggplot2
2020-03-07,40101,ggplot2
2020-03-08,41954,ggplot2
2020-03-09,67698,ggplot2
2020-03-10,68219,ggplot2
2020-03-11,65103,ggplot2
2020-03-12,60773,ggplot2
2020-03-13,53728,ggplot2
2020-03-14,43836,ggplot2
2020-03-15,45254,ggplot2
2020-03-16,61202,ggplot2
2020-03-17,64476,ggplot2
2020-03-18,69799,ggplot2
2020-03-19,66570,ggplot2
2020-03-20,60288,ggplot2
2020-03-21,50806,ggplot2
2020-03-22,52172,ggplot2
2020-03-23,63825,ggplot2
2020-03-24,64757,ggplot2
2020-03-25,63129,ggplot2
2020-03-26,64756,ggplot2
2020-03-27,63344,ggplot2
2020-03-28,50714,ggplot2
2020-03-29,52736,ggplot2
2020-03-30,63720,ggplot2
2020-03-31,66205,ggplot2
2020-04-01,65428,ggplot2
2020-04-02,64425,ggplot2
2020-04-03,60720,ggplot2
2020-04-04,50522,ggplot2
2020-04-05,50101,ggplot2
2020-04-06,62816,ggplot2
2020-04-07,65036,ggplot2
2020-04-08,65465,ggplot2
2020-04-09,62851,ggplot2
2020-04-10,57150,ggplot2
2020-04-11,49770,ggplot2
2020-04-12,49406,ggplot2
2020-04-13,62328,ggplot2
2020-04-14,62943,ggplot2
2020-04-15,61322,ggplot2
2020-04-16,60828,ggplot2
2020-04-17,57652,ggplot2
2020-04-18,52350,ggplot2
2020-04-19,48923,ggplot2
2020-04-20,62666,ggplot2
2020-04-21,63808,ggplot2
2020-04-22,63820,ggplot2
2020-04-23,64844,ggplot2
2020-04-24,62936,ggplot2
2020-04-25,49891,ggplot2
2020-04-26,50628,ggplot2
2020-04-27,63519,ggplot2
2020-04-28,65548,ggplot2
2020-04-29,67384,ggplot2
2020-04-30,63632,ggplot2
2020-05-01,56357,ggplot2
2020-05-02,51219,ggplot2
2020-05-03,52507,ggplot2
2020-05-04,60911,ggplot2
2020-05-05,61734,ggplot2
2020-05-06,63293,ggplot2
2020-05-07,61673,ggplot2
2020-05-08,59170,ggplot2
2020-05-09,49081,ggplot2
2020-05-10,45990,ggplot2
2020-05-11,60420,ggplot2
2020-05-12,63852,ggplot2
2020-05-13,62103,ggplot2
2020-05-14,60082,ggplot2
2020-05-15,57881,ggplot2
2020-05-16,44388,ggplot2
2020-05-17,49915,ggplot2
2020-05-18,60331,ggplot2
2020-05-19,64693,ggplot2
